"Year_Quarter","Group","Rate","Significant","Type","Indicator","Unit","IndicatorGroup"
"2016 Q1","Early preterm (<34 weeks)",2.76,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Late preterm (34-36 weeks)",6.84,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q2","Late preterm (34-36 weeks)",6.84,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q3","Late preterm (34-36 weeks)",6.82,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q4","Late preterm (34-36 weeks)",6.82,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q1","Late preterm (34-36 weeks)",6.8,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q2","Late preterm (34-36 weeks)",6.79,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q3","Late preterm (34-36 weeks)",6.83,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q4","Late preterm (34-36 weeks)",6.87,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2016 Q1","Late preterm (34-36 weeks)",6.93,"*","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Total preterm (<37 weeks)",9.62,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q2","Total preterm (<37 weeks)",9.62,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q3","Total preterm (<37 weeks)",9.58,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q4","Total preterm (<37 weeks)",9.57,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q1","Total preterm (<37 weeks)",9.55,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q2","Total preterm (<37 weeks)",9.54,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q3","Total preterm (<37 weeks)",9.59,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q4","Total preterm (<37 weeks)",9.62,"","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2016 Q1","Total preterm (<37 weeks)",9.68,"*","12 Month-ending","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Early term (37-38 weeks)",24.72,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Early term (37-38 weeks)",24.71,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Early term (37-38 weeks)",24.72,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Early term (37-38 weeks)",24.76,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Early term (37-38 weeks)",24.82,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Early term (37-38 weeks)",24.85,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Early term (37-38 weeks)",24.92,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Early term (37-38 weeks)",25,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Early term (37-38 weeks)",25.1,"*","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q1","Full term (39-40 weeks)",58.88,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Full term (39-40 weeks)",58.82,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Full term (39-40 weeks)",58.78,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Full term (39-40 weeks)",58.72,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Full term (39-40 weeks)",58.66,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Full term (39-40 weeks)",58.63,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Full term (39-40 weeks)",58.54,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Full term (39-40 weeks)",58.47,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Full term (39-40 weeks)",58.36,"*","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q1","Late term (41 weeks)",6.36,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Late term (41 weeks)",6.43,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Late term (41 weeks)",6.5,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Late term (41 weeks)",6.53,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Late term (41 weeks)",6.56,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Late term (41 weeks)",6.56,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Late term (41 weeks)",6.55,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Late term (41 weeks)",6.52,"","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Late term (41 weeks)",6.48,"*","12 Month-ending","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q1","Early preterm (<34 weeks)",2.75,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q2","Early preterm (<34 weeks)",2.84,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q3","Early preterm (<34 weeks)",2.64,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q4","Early preterm (<34 weeks)",2.76,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q1","Early preterm (<34 weeks)",2.75,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q2","Early preterm (<34 weeks)",2.84,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q3","Early preterm (<34 weeks)",2.68,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q4","Early preterm (<34 weeks)",2.74,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2016 Q1","Early preterm (<34 weeks)",2.77,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Late preterm (34-36 weeks)",6.92,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q2","Late preterm (34-36 weeks)",6.89,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q3","Late preterm (34-36 weeks)",6.61,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q4","Late preterm (34-36 weeks)",6.89,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q1","Late preterm (34-36 weeks)",6.84,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q2","Late preterm (34-36 weeks)",6.84,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q3","Late preterm (34-36 weeks)",6.76,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q4","Late preterm (34-36 weeks)",7.04,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2016 Q1","Late preterm (34-36 weeks)",7.08,"*","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Total preterm (<37 weeks)",9.67,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q2","Total preterm (<37 weeks)",9.73,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q3","Total preterm (<37 weeks)",9.26,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q4","Total preterm (<37 weeks)",9.65,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q1","Total preterm (<37 weeks)",9.59,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q2","Total preterm (<37 weeks)",9.68,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q3","Total preterm (<37 weeks)",9.44,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2015 Q4","Total preterm (<37 weeks)",9.78,"","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2016 Q1","Total preterm (<37 weeks)",9.86,"*","Quarterly","Gestational Age","percentage per 100 births","Preterm Birth Rates"
"2014 Q1","Early term (37-38 weeks)",24.94,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Early term (37-38 weeks)",24.68,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Early term (37-38 weeks)",24.51,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Early term (37-38 weeks)",24.95,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Early term (37-38 weeks)",25.16,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Early term (37-38 weeks)",24.83,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Early term (37-38 weeks)",24.77,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Early term (37-38 weeks)",25.25,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Early term (37-38 weeks)",25.57,"*","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q1","Full term (39-40 weeks)",58.62,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Full term (39-40 weeks)",58.66,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Full term (39-40 weeks)",59.09,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Full term (39-40 weeks)",58.48,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Full term (39-40 weeks)",58.39,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Full term (39-40 weeks)",58.54,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Full term (39-40 weeks)",58.74,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Full term (39-40 weeks)",58.19,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Full term (39-40 weeks)",57.92,"*","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q1","Late term (41 weeks)",6.35,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q2","Late term (41 weeks)",6.52,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q3","Late term (41 weeks)",6.72,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2014 Q4","Late term (41 weeks)",6.52,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q1","Late term (41 weeks)",6.46,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q2","Late term (41 weeks)",6.54,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q3","Late term (41 weeks)",6.66,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2015 Q4","Late term (41 weeks)",6.4,"","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
"2016 Q1","Late term (41 weeks)",6.31,"*","Quarterly","Gestational Age","percentage per 100 births","Term Birth Rates"
