break_out_category,break_out,data_value,data_value_type,data_value_unit,datasource,high_confidence_limit,locationabbr,locationdesc,low_confidence_limit,indicator,sample_size,year
Gender,Male,5.8,Percentage,%,HRQOL,7.5,SC,South Carolina,4.1,Diabetes,1641,2002
Gender,Female,,Percentage,%,HRQOL,,SD,South Dakota,,Diabetes,,2002
Gender,Male,,Percentage,%,HRQOL,,SD,South Dakota,,Diabetes,,2002
Gender,Female,,Percentage,%,HRQOL,,TN,Tennessee,,Diabetes,,2002
Gender,Male,,Percentage,%,HRQOL,,TN,Tennessee,,Diabetes,,2002
Gender,Female,5.1,Percentage,%,HRQOL,6,TX,Texas,4.3,Diabetes,3596,2002
Gender,Male,4.1,Percentage,%,HRQOL,5.2,TX,Texas,3,Diabetes,2342,2002
Gender,Female,7,Percentage,%,HRQOL,8.5,UT,Utah,5.4,Diabetes,2178,2002
Gender,Male,3.1,Percentage,%,HRQOL,4.2,UT,Utah,2,Diabetes,1847,2002
Gender,Female,,Percentage,%,HRQOL,,VT,Vermont,,Diabetes,,2002
Gender,Male,,Percentage,%,HRQOL,,VT,Vermont,,Diabetes,,2002
Gender,Female,5.5,Percentage,%,HRQOL,6.7,VA,Virginia,4.3,Diabetes,2505,2002
Gender,Male,4.6,Percentage,%,HRQOL,6,VA,Virginia,3.3,Diabetes,1752,2002
Gender,Female,5.2,Percentage,%,HRQOL,6.2,WA,Washington,4.3,Diabetes,2887,2002
Gender,Male,4.9,Percentage,%,HRQOL,6.2,WA,Washington,3.6,Diabetes,1938,2002
Gender,Female,,Percentage,%,HRQOL,,WV,West Virginia,,Diabetes,,2002
Gender,Male,,Percentage,%,HRQOL,,WV,West Virginia,,Diabetes,,2002
Gender,Female,,Percentage,%,HRQOL,,WI,Wisconsin,,Diabetes,,2002
Gender,Male,,Percentage,%,HRQOL,,WI,Wisconsin,,Diabetes,,2002
Gender,Female,4.7,Percentage,%,HRQOL,5.9,WY,Wyoming,3.5,Diabetes,2008,2002
Gender,Male,3.6,Percentage,%,HRQOL,4.7,WY,Wyoming,2.4,Diabetes,1453,2002
Gender,Female,9.3,Percentage,%,HRQOL,10.9,AL,Alabama,7.8,Diabetes,1643,2001
Gender,Male,6.8,Percentage,%,HRQOL,8.5,AL,Alabama,5.1,Diabetes,1011,2001
Gender,Female,5.8,Percentage,%,HRQOL,7.6,AK,Alaska,4,Diabetes,1417,2001
Gender,Male,6.3,Percentage,%,HRQOL,8.3,AK,Alaska,4.3,Diabetes,1264,2001
Gender,Female,6.7,Percentage,%,HRQOL,8.2,AZ,Arizona,5.1,Diabetes,1791,2001
Gender,Male,6.2,Percentage,%,HRQOL,8,AZ,Arizona,4.3,Diabetes,1259,2001
Gender,Female,8,Percentage,%,HRQOL,9.5,AR,Arkansas,6.5,Diabetes,1694,2001
Gender,Male,9.8,Percentage,%,HRQOL,11.9,AR,Arkansas,7.7,Diabetes,1086,2001
Gender,Female,8.7,Percentage,%,HRQOL,10.4,CA,California,7,Diabetes,2504,2001
Gender,Male,5,Percentage,%,HRQOL,6.3,CA,California,3.8,Diabetes,1701,2001
Gender,Female,6.7,Percentage,%,HRQOL,8.3,CO,Colorado,5.1,Diabetes,1113,2001
Gender,Male,4.2,Percentage,%,HRQOL,5.8,CO,Colorado,2.5,Diabetes,829,2001
Gender,Female,5.4,Percentage,%,HRQOL,6.3,CT,Connecticut,4.5,Diabetes,4256,2001
Gender,Male,4.8,Percentage,%,HRQOL,5.7,CT,Connecticut,3.8,Diabetes,3065,2001
Gender,Female,7,Percentage,%,HRQOL,8.5,DE,Delaware,5.5,Diabetes,2068,2001
Gender,Male,4.8,Percentage,%,HRQOL,6.4,DE,Delaware,3.3,Diabetes,1303,2001
Gender,Female,5.7,Percentage,%,HRQOL,7.4,DC,District of Columbia,4.1,Diabetes,1012,2001
Gender,Male,4.3,Percentage,%,HRQOL,6.3,DC,District of Columbia,2.3,Diabetes,743,2001
Gender,Female,6.6,Percentage,%,HRQOL,7.8,FL,Florida,5.5,Diabetes,2589,2001
Gender,Male,6.1,Percentage,%,HRQOL,7.4,FL,Florida,4.8,Diabetes,1807,2001
Gender,Female,5.6,Percentage,%,HRQOL,6.6,GA,Georgia,4.6,Diabetes,2593,2001
Gender,Male,5,Percentage,%,HRQOL,6.4,GA,Georgia,3.7,Diabetes,1613,2001
Gender,Female,3.5,Percentage,%,HRQOL,4.4,HI,Hawaii,2.6,Diabetes,2463,2001
Gender,Male,2.7,Percentage,%,HRQOL,3.6,HI,Hawaii,1.8,Diabetes,1867,2001
Gender,Female,6.2,Percentage,%,HRQOL,7.3,ID,Idaho,5,Diabetes,2625,2001
Gender,Male,4.3,Percentage,%,HRQOL,5.4,ID,Idaho,3.3,Diabetes,1996,2001
Gender,Female,5.3,Percentage,%,HRQOL,6.3,IL,Illinois,4.3,Diabetes,2305,2001
Gender,Male,3.5,Percentage,%,HRQOL,4.5,IL,Illinois,2.5,Diabetes,1607,2001
Gender,Female,6.4,Percentage,%,HRQOL,7.5,IN,Indiana,5.3,Diabetes,2266,2001
Gender,Male,4.1,Percentage,%,HRQOL,5.2,IN,Indiana,3.1,Diabetes,1560,2001
Gender,Female,4.9,Percentage,%,HRQOL,6,IA,Iowa,3.9,Diabetes,1994,2001
Gender,Male,3.3,Percentage,%,HRQOL,4.4,IA,Iowa,2.3,Diabetes,1422,2001
Gender,Female,4.9,Percentage,%,HRQOL,5.9,KS,Kansas,4,Diabetes,2585,2001
Gender,Male,4.2,Percentage,%,HRQOL,5.2,KS,Kansas,3.2,Diabetes,1789,2001
Gender,Female,9.8,Percentage,%,HRQOL,11.1,KY,Kentucky,8.6,Diabetes,4362,2001
Gender,Male,9.7,Percentage,%,HRQOL,11.1,KY,Kentucky,8.3,Diabetes,2800,2001
Gender,Female,7.5,Percentage,%,HRQOL,8.7,LA,Louisiana,6.4,Diabetes,2732,2001
Gender,Male,6,Percentage,%,HRQOL,7.2,LA,Louisiana,4.8,Diabetes,1706,2001
Gender,Female,6.7,Percentage,%,HRQOL,8.1,ME,Maine,5.2,Diabetes,1311,2001
Gender,Male,6.1,Percentage,%,HRQOL,7.7,ME,Maine,4.5,Diabetes,980,2001
Gender,Female,5.3,Percentage,%,HRQOL,6.4,MD,Maryland,4.1,Diabetes,2496,2001
Gender,Male,4.1,Percentage,%,HRQOL,5.3,MD,Maryland,2.8,Diabetes,1721,2001
Gender,Female,6.4,Percentage,%,HRQOL,7.3,MA,Massachusetts,5.5,Diabetes,4797,2001
Gender,Male,5.8,Percentage,%,HRQOL,6.8,MA,Massachusetts,4.8,Diabetes,3401,2001
Gender,Female,7.2,Percentage,%,HRQOL,8.4,MI,Michigan,6,Diabetes,2177,2001
Gender,Male,6,Percentage,%,HRQOL,7.4,MI,Michigan,4.7,Diabetes,1450,2001
Gender,Female,5.5,Percentage,%,HRQOL,6.5,MN,Minnesota,4.4,Diabetes,2171,2001
Gender,Male,3.9,Percentage,%,HRQOL,4.9,MN,Minnesota,2.9,Diabetes,1632,2001
Gender,Female,8.9,Percentage,%,HRQOL,10.4,MS,Mississippi,7.5,Diabetes,1725,2001
Gender,Male,7.6,Percentage,%,HRQOL,9.4,MS,Mississippi,5.9,Diabetes,1079,2001
Gender,Female,7,Percentage,%,HRQOL,8.4,MO,Missouri,5.6,Diabetes,2362,2001
Gender,Male,5.6,Percentage,%,HRQOL,6.9,MO,Missouri,4.2,Diabetes,1571,2001
Gender,Female,8.7,Percentage,%,HRQOL,10.6,MT,Montana,6.8,Diabetes,1856,2001
Gender,Male,4.5,Percentage,%,HRQOL,5.9,MT,Montana,3.2,Diabetes,1393,2001
Gender,Female,6.9,Percentage,%,HRQOL,7.2,US,Nationwide,6.5,Diabetes,114501,2001
Gender,Male,5.4,Percentage,%,HRQOL,5.7,US,Nationwide,5.1,Diabetes,79970,2001
Gender,Female,4.8,Percentage,%,HRQOL,5.8,NE,Nebraska,3.9,Diabetes,2188,2001
Gender,Male,4.6,Percentage,%,HRQOL,5.9,NE,Nebraska,3.3,Diabetes,1378,2001
Gender,Female,7.9,Percentage,%,HRQOL,10.2,NV,Nevada,5.6,Diabetes,1084,2001
Gender,Male,3.6,Percentage,%,HRQOL,5,NV,Nevada,2.3,Diabetes,1108,2001
Gender,Female,4.6,Percentage,%,HRQOL,5.6,NH,New Hampshire,3.6,Diabetes,2215,2001
Gender,Male,3.7,Percentage,%,HRQOL,4.7,NH,New Hampshire,2.6,Diabetes,1640,2001
Gender,Female,7.2,Percentage,%,HRQOL,8.4,NJ,New Jersey,6.1,Diabetes,3337,2001
Gender,Male,5.3,Percentage,%,HRQOL,6.5,NJ,New Jersey,4.2,Diabetes,2315,2001
Gender,Female,8,Percentage,%,HRQOL,9.3,NM,New Mexico,6.6,Diabetes,2009,2001
Gender,Male,6.6,Percentage,%,HRQOL,8.2,NM,New Mexico,5,Diabetes,1443,2001
Gender,Female,6.6,Percentage,%,HRQOL,7.9,NY,New York,5.4,Diabetes,2147,2001
Gender,Male,6.4,Percentage,%,HRQOL,8,NY,New York,4.8,Diabetes,1523,2001
Gender,Female,7,Percentage,%,HRQOL,8.2,NC,North Carolina,5.7,Diabetes,3598,2001
Gender,Male,5.7,Percentage,%,HRQOL,7.1,NC,North Carolina,4.3,Diabetes,2287,2001
Gender,Female,4.6,Percentage,%,HRQOL,5.8,ND,North Dakota,3.3,Diabetes,1366,2001
Gender,Male,4.1,Percentage,%,HRQOL,5.4,ND,North Dakota,2.7,Diabetes,1042,2001
Gender,Female,6,Percentage,%,HRQOL,7.1,OH,Ohio,4.8,Diabetes,1943,2001
Gender,Male,5.9,Percentage,%,HRQOL,7.3,OH,Ohio,4.4,Diabetes,1300,2001
Gender,Female,9,Percentage,%,HRQOL,10.5,OK,Oklahoma,7.6,Diabetes,2612,2001
Gender,Male,7.1,Percentage,%,HRQOL,8.6,OK,Oklahoma,5.5,Diabetes,1708,2001
Gender,Female,6.7,Percentage,%,HRQOL,8.2,OR,Oregon,5.3,Diabetes,1417,2001
Gender,Male,5.8,Percentage,%,HRQOL,7.4,OR,Oregon,4.3,Diabetes,1023,2001
Gender,Female,6.7,Percentage,%,HRQOL,7.9,PA,Pennsylvania,5.5,Diabetes,2083,2001
Gender,Male,5.7,Percentage,%,HRQOL,7,PA,Pennsylvania,4.4,Diabetes,1430,2001
Gender,Female,7.2,Percentage,%,HRQOL,8.4,RI,Rhode Island,6,Diabetes,2413,2001
Gender,Male,6.9,Percentage,%,HRQOL,8.4,RI,Rhode Island,5.4,Diabetes,1479,2001
Gender,Female,8.6,Percentage,%,HRQOL,10.3,SC,South Carolina,6.9,Diabetes,1812,2001
Gender,Male,6,Percentage,%,HRQOL,7.4,SC,South Carolina,4.5,Diabetes,1204,2001
Gender,Female,4.1,Percentage,%,HRQOL,4.9,SD,South Dakota,3.3,Diabetes,2832,2001
Gender,Male,4.9,Percentage,%,HRQOL,6.2,SD,South Dakota,3.5,Diabetes,2114,2001
Gender,Female,6.7,Percentage,%,HRQOL,7.9,TN,Tennessee,5.4,Diabetes,1858,2001
Gender,Male,6.2,Percentage,%,HRQOL,8.2,TN,Tennessee,4.1,Diabetes,910,2001
Gender,Female,6.7,Percentage,%,HRQOL,7.7,TX,Texas,5.7,Diabetes,3291,2001
Gender,Male,4.7,Percentage,%,HRQOL,5.8,TX,Texas,3.7,Diabetes,2355,2001
Gender,Female,5.3,Percentage,%,HRQOL,6.6,UT,Utah,4,Diabetes,1938,2001
Gender,Male,4,Percentage,%,HRQOL,5.2,UT,Utah,2.8,Diabetes,1609,2001
Gender,Female,5.7,Percentage,%,HRQOL,6.7,VT,Vermont,4.7,Diabetes,2378,2001
Gender,Male,5.3,Percentage,%,HRQOL,6.6,VT,Vermont,4.1,Diabetes,1727,2001
Gender,Female,6.6,Percentage,%,HRQOL,7.9,VA,Virginia,5.3,Diabetes,1557,2001
Gender,Male,4.3,Percentage,%,HRQOL,5.5,VA,Virginia,3,Diabetes,1169,2001
Gender,Female,6.3,Percentage,%,HRQOL,7.5,WA,Washington,5.2,Diabetes,2313,2001
Gender,Male,4.6,Percentage,%,HRQOL,5.8,WA,Washington,3.5,Diabetes,1672,2001
Gender,Female,10.9,Percentage,%,HRQOL,12.5,WV,West Virginia,9.3,Diabetes,1744,2001
Gender,Male,10.5,Percentage,%,HRQOL,12.4,WV,West Virginia,8.6,Diabetes,1163,2001
Gender,Female,5.1,Percentage,%,HRQOL,6.3,WI,Wisconsin,3.9,Diabetes,1805,2001
Gender,Male,4.4,Percentage,%,HRQOL,5.6,WI,Wisconsin,3.3,Diabetes,1431,2001
Gender,Female,6,Percentage,%,HRQOL,7.3,WY,Wyoming,4.7,Diabetes,1654,2001
Gender,Male,4.5,Percentage,%,HRQOL,5.8,WY,Wyoming,3.3,Diabetes,1285,2001
Gender,Female,8.3,Percentage,%,HRQOL,10,AL,Alabama,6.7,Diabetes,1333,2000
Gender,Male,7.6,Percentage,%,HRQOL,9.6,AL,Alabama,5.6,Diabetes,797,2000
Gender,Female,4.8,Percentage,%,HRQOL,6.7,AK,Alaska,3,Diabetes,1029,2000
Gender,Male,3,Percentage,%,HRQOL,4.5,AK,Alaska,1.5,Diabetes,928,2000
Gender,Female,5.6,Percentage,%,HRQOL,7.4,AZ,Arizona,3.8,Diabetes,1515,2000
Gender,Male,4.4,Percentage,%,HRQOL,6.2,AZ,Arizona,2.6,Diabetes,1040,2000
Gender,Female,8.3,Percentage,%,HRQOL,9.7,AR,Arkansas,6.8,Diabetes,1747,2000
Gender,Male,6,Percentage,%,HRQOL,7.6,AR,Arkansas,4.4,Diabetes,1115,2000
Gender,Female,7.7,Percentage,%,HRQOL,9.1,CA,California,6.3,Diabetes,2247,2000
Gender,Male,5,Percentage,%,HRQOL,6.4,CA,California,3.6,Diabetes,1632,2000
Gender,Female,6.6,Percentage,%,HRQOL,8.4,CO,Colorado,4.8,Diabetes,1714,2000
Gender,Male,4.4,Percentage,%,HRQOL,5.9,CO,Colorado,2.8,Diabetes,1259,2000
Gender,Female,5.4,Percentage,%,HRQOL,6.5,CT,Connecticut,4.3,Diabetes,2245,2000
Gender,Male,4.5,Percentage,%,HRQOL,5.8,CT,Connecticut,3.3,Diabetes,1463,2000
Gender,Female,7.9,Percentage,%,HRQOL,9.8,DE,Delaware,6,Diabetes,1566,2000
Gender,Male,6.1,Percentage,%,HRQOL,7.9,DE,Delaware,4.3,Diabetes,1106,2000
Gender,Female,6.3,Percentage,%,HRQOL,8.1,DC,District of Columbia,4.5,Diabetes,1001,2000
Gender,Male,6.4,Percentage,%,HRQOL,8.7,DC,District of Columbia,4,Diabetes,639,2000
Gender,Female,6.9,Percentage,%,HRQOL,7.9,FL,Florida,5.8,Diabetes,2974,2000
Gender,Male,6.9,Percentage,%,HRQOL,8.2,FL,Florida,5.6,Diabetes,2026,2000
Gender,Female,6.7,Percentage,%,HRQOL,7.9,GA,Georgia,5.4,Diabetes,2342,2000
Gender,Male,4.8,Percentage,%,HRQOL,6.2,GA,Georgia,3.3,Diabetes,1479,2000
Gender,Female,4.3,Percentage,%,HRQOL,5.2,HI,Hawaii,3.3,Diabetes,3243,2000
Gender,Male,4,Percentage,%,HRQOL,5,HI,Hawaii,2.9,Diabetes,2624,2000
Gender,Female,6.5,Percentage,%,HRQOL,7.6,ID,Idaho,5.4,Diabetes,2756,2000
Gender,Male,5,Percentage,%,HRQOL,6.2,ID,Idaho,3.8,Diabetes,2041,2000
Gender,Female,5.7,Percentage,%,HRQOL,6.8,IL,Illinois,4.5,Diabetes,2178,2000
Gender,Male,3.8,Percentage,%,HRQOL,4.9,IL,Illinois,2.6,Diabetes,1542,2000
Gender,Female,7,Percentage,%,HRQOL,8.4,IN,Indiana,5.6,Diabetes,1639,2000
Gender,Male,5.6,Percentage,%,HRQOL,7.2,IN,Indiana,4,Diabetes,1176,2000
Gender,Female,5.3,Percentage,%,HRQOL,6.4,IA,Iowa,4.2,Diabetes,2101,2000
Gender,Male,4.4,Percentage,%,HRQOL,5.7,IA,Iowa,3.1,Diabetes,1365,2000
Gender,Female,4.3,Percentage,%,HRQOL,5.2,KS,Kansas,3.4,Diabetes,2484,2000
Gender,Male,4.2,Percentage,%,HRQOL,5.3,KS,Kansas,3,Diabetes,1603,2000
Gender,Female,9.2,Percentage,%,HRQOL,10.5,KY,Kentucky,8,Diabetes,3745,2000
Gender,Male,9.1,Percentage,%,HRQOL,10.5,KY,Kentucky,7.8,Diabetes,2499,2000
Gender,Female,7,Percentage,%,HRQOL,8,LA,Louisiana,5.9,Diabetes,2923,2000
Gender,Male,5.8,Percentage,%,HRQOL,7.1,LA,Louisiana,4.5,Diabetes,1790,2000
Gender,Female,6.6,Percentage,%,HRQOL,8.1,ME,Maine,5.1,Diabetes,2581,2000
Gender,Male,5.1,Percentage,%,HRQOL,6.8,ME,Maine,3.5,Diabetes,1815,2000
Gender,Female,4.8,Percentage,%,HRQOL,5.9,MD,Maryland,3.7,Diabetes,2682,2000
Gender,Male,6,Percentage,%,HRQOL,7.6,MD,Maryland,4.4,Diabetes,1719,2000
Gender,Female,5.9,Percentage,%,HRQOL,6.8,MA,Massachusetts,5,Diabetes,4682,2000
Gender,Male,4.9,Percentage,%,HRQOL,5.8,MA,Massachusetts,3.9,Diabetes,3095,2000
Gender,Female,6.6,Percentage,%,HRQOL,8,MI,Michigan,5.2,Diabetes,1394,2000
Gender,Male,4.8,Percentage,%,HRQOL,6.2,MI,Michigan,3.3,Diabetes,1084,2000
Gender,Female,5.3,Percentage,%,HRQOL,6.5,MN,Minnesota,4,Diabetes,1556,2000
Gender,Male,3.7,Percentage,%,HRQOL,4.8,MN,Minnesota,2.7,Diabetes,1235,2000
Gender,Female,6.9,Percentage,%,HRQOL,8.7,MS,Mississippi,5,Diabetes,1245,2000
Gender,Male,5.4,Percentage,%,HRQOL,7.3,MS,Mississippi,3.5,Diabetes,778,2000
Gender,Female,4.6,Percentage,%,HRQOL,5.6,MO,Missouri,3.6,Diabetes,2576,2000
Gender,Male,5.3,Percentage,%,HRQOL,6.8,MO,Missouri,3.9,Diabetes,1647,2000
Gender,Female,4.6,Percentage,%,HRQOL,5.8,MT,Montana,3.4,Diabetes,1677,2000
Gender,Male,4,Percentage,%,HRQOL,5.3,MT,Montana,2.6,Diabetes,1253,2000
Gender,Female,6.4,Percentage,%,HRQOL,6.8,US,Nationwide,6.1,Diabetes,102224,2000
Gender,Male,5.1,Percentage,%,HRQOL,5.4,US,Nationwide,4.7,Diabetes,70736,2000
Gender,Female,5.4,Percentage,%,HRQOL,6.7,NE,Nebraska,4.1,Diabetes,1786,2000
Gender,Male,4.1,Percentage,%,HRQOL,5.3,NE,Nebraska,2.8,Diabetes,1206,2000
Gender,Female,6.2,Percentage,%,HRQOL,8.4,NV,Nevada,4,Diabetes,1007,2000
Gender,Male,6.4,Percentage,%,HRQOL,9.3,NV,Nevada,3.6,Diabetes,1019,2000
Gender,Female,6,Percentage,%,HRQOL,7.7,NH,New Hampshire,4.3,Diabetes,1118,2000
Gender,Male,3.6,Percentage,%,HRQOL,5.1,NH,New Hampshire,2.2,Diabetes,749,2000
Gender,Female,4.6,Percentage,%,HRQOL,5.6,NJ,New Jersey,3.6,Diabetes,2180,2000
Gender,Male,4.2,Percentage,%,HRQOL,5.5,NJ,New Jersey,3,Diabetes,1414,2000
Gender,Female,6.9,Percentage,%,HRQOL,8.3,NM,New Mexico,5.6,Diabetes,1720,2000
Gender,Male,4.8,Percentage,%,HRQOL,6,NM,New Mexico,3.6,Diabetes,1431,2000
Gender,Female,6.1,Percentage,%,HRQOL,7.5,NY,New York,4.7,Diabetes,1880,2000
Gender,Male,5.1,Percentage,%,HRQOL,6.7,NY,New York,3.5,Diabetes,1275,2000
Gender,Female,6.6,Percentage,%,HRQOL,7.8,NC,North Carolina,5.3,Diabetes,1781,2000
Gender,Male,5.8,Percentage,%,HRQOL,7.4,NC,North Carolina,4.2,Diabetes,1117,2000
Gender,Female,4.4,Percentage,%,HRQOL,5.8,ND,North Dakota,3.1,Diabetes,1043,2000
Gender,Male,4.3,Percentage,%,HRQOL,5.9,ND,North Dakota,2.7,Diabetes,783,2000
Gender,Female,7.1,Percentage,%,HRQOL,8.7,OH,Ohio,5.5,Diabetes,1883,2000
Gender,Male,3.7,Percentage,%,HRQOL,5.1,OH,Ohio,2.3,Diabetes,1237,2000
Gender,Female,6.3,Percentage,%,HRQOL,7.6,OK,Oklahoma,5,Diabetes,2050,2000
Gender,Male,4.9,Percentage,%,HRQOL,6.1,OK,Oklahoma,3.7,Diabetes,1548,2000
Gender,Female,7.1,Percentage,%,HRQOL,8.4,OR,Oregon,5.9,Diabetes,2155,2000
Gender,Male,5,Percentage,%,HRQOL,6.4,OR,Oregon,3.5,Diabetes,1445,2000
Gender,Female,5.2,Percentage,%,HRQOL,6.3,PA,Pennsylvania,4.2,Diabetes,2025,2000
Gender,Male,4.2,Percentage,%,HRQOL,5.4,PA,Pennsylvania,3,Diabetes,1380,2000
Gender,Female,5.4,Percentage,%,HRQOL,6.5,RI,Rhode Island,4.4,Diabetes,2060,2000
Gender,Male,5.3,Percentage,%,HRQOL,6.7,RI,Rhode Island,3.9,Diabetes,1328,2000
Gender,Female,7.4,Percentage,%,HRQOL,8.7,SC,South Carolina,6.1,Diabetes,1893,2000
Gender,Male,5.4,Percentage,%,HRQOL,6.8,SC,South Carolina,4,Diabetes,1277,2000
Gender,Female,4.1,Percentage,%,HRQOL,4.8,SD,South Dakota,3.3,Diabetes,2942,2000
Gender,Male,4.3,Percentage,%,HRQOL,5.3,SD,South Dakota,3.3,Diabetes,1873,2000
Gender,Female,7.2,Percentage,%,HRQOL,8.4,TN,Tennessee,5.9,Diabetes,1883,2000
Gender,Male,3.8,Percentage,%,HRQOL,5.1,TN,Tennessee,2.4,Diabetes,948,2000
Gender,Female,7.4,Percentage,%,HRQOL,8.5,TX,Texas,6.2,Diabetes,2858,2000
Gender,Male,5.8,Percentage,%,HRQOL,6.9,TX,Texas,4.6,Diabetes,1917,2000
Gender,Female,5.3,Percentage,%,HRQOL,6.6,UT,Utah,3.9,Diabetes,1587,2000
Gender,Male,3.5,Percentage,%,HRQOL,4.9,UT,Utah,2.1,Diabetes,1245,2000
Gender,Female,4.7,Percentage,%,HRQOL,5.8,VT,Vermont,3.6,Diabetes,2023,2000
Gender,Male,4.5,Percentage,%,HRQOL,5.7,VT,Vermont,3.4,Diabetes,1463,2000
Gender,Female,4.2,Percentage,%,HRQOL,5.5,VA,Virginia,2.8,Diabetes,1050,2000
Gender,Male,4.4,Percentage,%,HRQOL,5.9,VA,Virginia,2.8,Diabetes,796,2000
Gender,Female,6.3,Percentage,%,HRQOL,7.5,WA,Washington,5.1,Diabetes,1995,2000
Gender,Male,4.6,Percentage,%,HRQOL,5.8,WA,Washington,3.3,Diabetes,1429,2000
Gender,Female,8.6,Percentage,%,HRQOL,10.2,WV,West Virginia,7,Diabetes,1355,2000
Gender,Male,11.6,Percentage,%,HRQOL,13.8,WV,West Virginia,9.4,Diabetes,927,2000
Gender,Female,6.3,Percentage,%,HRQOL,7.8,WI,Wisconsin,4.7,Diabetes,1440,2000
Gender,Male,4.8,Percentage,%,HRQOL,6.1,WI,Wisconsin,3.4,Diabetes,1189,2000
Gender,Female,7,Percentage,%,HRQOL,8.7,WY,Wyoming,5.3,Diabetes,1335,2000
Gender,Male,4.3,Percentage,%,HRQOL,5.7,WY,Wyoming,2.9,Diabetes,990,2000
Gender,Female,8.1,Percentage,%,HRQOL,9.7,AL,Alabama,6.4,Diabetes,1157,1999
Gender,Male,6.5,Percentage,%,HRQOL,8.3,AL,Alabama,4.6,Diabetes,809,1999
Gender,Female,6.5,Percentage,%,HRQOL,9.4,AK,Alaska,3.7,Diabetes,997,1999
Gender,Male,4.8,Percentage,%,HRQOL,6.6,AK,Alaska,3,Diabetes,950,1999
Gender,Female,1.4,Percentage,%,HRQOL,2.3,AZ,Arizona,0.4,Diabetes,1013,1999
Gender,Male,1.1,Percentage,%,HRQOL,1.8,AZ,Arizona,0.4,Diabetes,708,1999
Gender,Female,8,Percentage,%,HRQOL,9.4,AR,Arkansas,6.6,Diabetes,1760,1999
Gender,Male,6.1,Percentage,%,HRQOL,7.7,AR,Arkansas,4.6,Diabetes,1132,1999
Gender,Female,7.3,Percentage,%,HRQOL,8.5,CA,California,6.1,Diabetes,2442,1999
Gender,Male,5.4,Percentage,%,HRQOL,6.7,CA,California,4.1,Diabetes,1820,1999
Gender,Female,5.2,Percentage,%,HRQOL,6.7,CO,Colorado,3.8,Diabetes,1639,1999
Gender,Male,5.3,Percentage,%,HRQOL,7.2,CO,Colorado,3.5,Diabetes,1343,1999
Gender,Female,4.7,Percentage,%,HRQOL,6,CT,Connecticut,3.5,Diabetes,2023,1999
Gender,Male,5.2,Percentage,%,HRQOL,6.9,CT,Connecticut,3.4,Diabetes,1315,1999
Gender,Female,5.5,Percentage,%,HRQOL,7,DE,Delaware,3.9,Diabetes,1471,1999
Gender,Male,5.2,Percentage,%,HRQOL,7,DE,Delaware,3.5,Diabetes,993,1999
Gender,Female,4.1,Percentage,%,HRQOL,5.6,DC,District of Columbia,2.7,Diabetes,769,1999
Gender,Male,2.8,Percentage,%,HRQOL,4.3,DC,District of Columbia,1.3,Diabetes,449,1999
Gender,Female,7.4,Percentage,%,HRQOL,8.5,FL,Florida,6.4,Diabetes,3050,1999
Gender,Male,6.4,Percentage,%,HRQOL,7.7,FL,Florida,5,Diabetes,2008,1999
Gender,Female,6.2,Percentage,%,HRQOL,7.7,GA,Georgia,4.7,Diabetes,1307,1999
Gender,Male,3.5,Percentage,%,HRQOL,5,GA,Georgia,2.1,Diabetes,847,1999
Gender,Female,4.1,Percentage,%,HRQOL,5.6,HI,Hawaii,2.6,Diabetes,1124,1999
Gender,Male,2.5,Percentage,%,HRQOL,3.6,HI,Hawaii,1.4,Diabetes,970,1999
Gender,Female,5.8,Percentage,%,HRQOL,6.8,ID,Idaho,4.8,Diabetes,2755,1999
Gender,Male,4.6,Percentage,%,HRQOL,6,ID,Idaho,3.2,Diabetes,2029,1999
Gender,Female,6.2,Percentage,%,HRQOL,7.6,IL,Illinois,4.9,Diabetes,1765,1999
Gender,Male,4.6,Percentage,%,HRQOL,6.6,IL,Illinois,2.7,Diabetes,1085,1999
Gender,Female,6.3,Percentage,%,HRQOL,8.6,IN,Indiana,4.1,Diabetes,1360,1999
Gender,Male,5.2,Percentage,%,HRQOL,7.6,IN,Indiana,2.9,Diabetes,988,1999
Gender,Female,5,Percentage,%,HRQOL,6.1,IA,Iowa,4,Diabetes,2142,1999
Gender,Male,4.7,Percentage,%,HRQOL,5.9,IA,Iowa,3.5,Diabetes,1398,1999
Gender,Female,4.4,Percentage,%,HRQOL,5.3,KS,Kansas,3.5,Diabetes,2172,1999
Gender,Male,2.9,Percentage,%,HRQOL,3.8,KS,Kansas,2,Diabetes,1508,1999
Gender,Female,9,Percentage,%,HRQOL,10,KY,Kentucky,7.9,Diabetes,4666,1999
Gender,Male,9.2,Percentage,%,HRQOL,10.5,KY,Kentucky,7.9,Diabetes,2688,1999
Gender,Female,7.7,Percentage,%,HRQOL,9.8,LA,Louisiana,5.5,Diabetes,942,1999
Gender,Male,4.7,Percentage,%,HRQOL,6.4,LA,Louisiana,2.9,Diabetes,630,1999
Gender,Female,6.9,Percentage,%,HRQOL,8.7,ME,Maine,5.1,Diabetes,902,1999
Gender,Male,5.5,Percentage,%,HRQOL,7.4,ME,Maine,3.5,Diabetes,718,1999
Gender,Female,5.4,Percentage,%,HRQOL,6.6,MD,Maryland,4.1,Diabetes,2272,1999
Gender,Male,5.2,Percentage,%,HRQOL,6.7,MD,Maryland,3.8,Diabetes,1545,1999
